Nov 16 23:04:12.082 VTTY: Console port: waiting connection on tcp port 5022 for protocol IPv6 (FD 11)
Nov 16 23:04:12.082 VTTY: Console port: waiting connection on tcp port 5022 for protocol IPv4 (FD 12)
Nov 16 23:04:12.092 slot0: C/H/S settings = 0/4/32
Nov 16 23:04:12.092 slot1: C/H/S settings = 0/4/32
Nov 16 23:04:12.362 C3745_BOOT: starting instance (CPU0 PC=0xffffffffbfc00000,idle_pc=0x60aa1da0,JIT on)
Nov 16 23:04:12.362 CPU0: CPU_STATE: Starting CPU (old state=2)...
Nov 16 23:04:12.497 ROM: Microcode has started.
Nov 16 23:04:12.497 ROM: trying to read bootvar 'WARM_REBOOT'
Nov 16 23:04:12.497 CPU0: IO_FPGA: write to unknown addr 0x30, value=0x0, pc=0xffffffff80a99108 (size=1)
Nov 16 23:04:12.497 CPU0: IO_FPGA: read from unknown addr 0x30, pc=0xffffffff80a9911c (size=1)
Nov 16 23:04:12.532 CPU0: IO_FPGA: read from unknown addr 0x6, pc=0x6026e48c (size=2)
Nov 16 23:04:12.532 CPU0: IO_FPGA: read from unknown addr 0x10000a, pc=0x60275d88 (size=2)
Nov 16 23:04:12.532 CPU0: IO_FPGA: write to unknown addr 0x10000a, value=0x0, pc=0x60275d98 (size=2)
Nov 16 23:04:12.532 ROM: unhandled syscall 0x00000047 at pc=0x60a9a89c (a1=0x80007db4,a2=0x00000010,a3=0xbfb00000)
Nov 16 23:04:12.802 ROM: trying to read bootvar 'RANDOM_NUM'
Nov 16 23:04:12.822 CPU0: IO_FPGA: write to unknown addr 0x2e, value=0x20, pc=0x6028323c (size=2)
Nov 16 23:04:12.822 CPU0: PCI: read request for device 'gt96100' at pc=0x60286160: bus=0,device=0,function=0,reg=0x00
Nov 16 23:04:12.822 CPU0: PCI: read request for device 'gt96100' at pc=0x60286164: bus=0,device=0,function=0,reg=0x00
Nov 16 23:04:12.822 CPU0: PCI: read request for device 'gt96100' at pc=0x60285f14: bus=0,device=0,function=0,reg=0x08
Nov 16 23:04:12.822 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x10
Nov 16 23:04:12.822 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x10
Nov 16 23:04:12.822 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x90
Nov 16 23:04:12.822 CPU0: PCI: write request (data=0x00000000) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x90
Nov 16 23:04:12.822 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x14
Nov 16 23:04:12.822 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x14
Nov 16 23:04:12.822 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x6028605c: bus=0,device=0,function=0,reg=0x94
Nov 16 23:04:12.822 CPU0: PCI: write request (data=0x10000000) for device 'gt96100' at pc=0x60286060: bus=0,device=0,function=0,reg=0x94
